x, y, z, porePressure
   22.500,     4.113,     0.000,    786157.31
   22.500,     4.500,     0.000,    782357.94
   22.500,     4.887,     0.000,    778558.56
   22.113,     4.113,     0.000,    786157.31
   22.113,     4.500,     0.000,    782357.94
   22.113,     4.887,     0.000,    778558.56
   22.887,     5.113,     0.000,    776347.31
   22.887,     5.500,     0.000,    772547.94
   22.887,     5.887,     0.000,    768748.56
   22.500,     5.113,     0.000,    776347.31
   22.500,     5.500,     0.000,    772547.94
   22.500,     5.887,     0.000,    768748.56
   22.113,     5.113,     0.000,    776347.31
   22.113,     5.500,     0.000,    772547.94
   22.113,     5.887,     0.000,    768748.56
   22.887,     6.113,     0.000,    766537.31
   22.887,     6.500,     0.000,    762737.94
   22.887,     6.887,     0.000,    758938.56
   22.500,     6.113,     0.000,    766537.31
   22.500,     6.500,     0.000,    762737.94
   22.500,     6.887,     0.000,    758938.56
   22.113,     6.113,     0.000,    766537.31
   22.113,     6.500,     0.000,    762737.94
   22.113,     6.887,     0.000,    758938.56
   22.887,     7.113,     0.000,    756727.31
   22.887,     7.500,     0.000,    752927.94
   22.887,     7.887,     0.000,    749128.56
   22.500,     7.113,     0.000,    756727.31
   22.500,     7.500,     0.000,    752927.94
   22.500,     7.887,     0.000,    749128.56
   22.113,     7.113,     0.000,    756727.31
   22.113,     7.500,     0.000,    752927.94
   22.113,     7.887,     0.000,    749128.56
   22.887,     8.113,     0.000,    746917.31
   22.887,     8.500,     0.000,    743117.94
   22.887,     8.887,     0.000,    739318.56
   22.500,     8.113,     0.000,    746917.31
   22.500,     8.500,     0.000,    743117.94
   22.500,     8.887,     0.000,    739318.56
   22.113,     8.113,     0.000,    746917.31
   22.113,     8.500,     0.000,    743117.94
   22.113,     8.887,     0.000,    739318.56
   22.887,     9.113,     0.000,    737107.31
   22.887,     9.500,     0.000,    733307.94
   22.887,     9.887,     0.000,    729508.56
   22.500,     9.113,     0.000,    737107.31
   22.500,     9.500,     0.000,    733307.94
   22.500,     9.887,     0.000,    729508.56
   22.113,     9.113,     0.000,    737107.31
   22.113,     9.500,     0.000,    733307.94
   22.113,     9.887,     0.000,    729508.56
   22.887,    10.113,     0.000,    727297.31
   22.887,    10.500,     0.000,    723497.94
   22.887,    10.887,     0.000,    719698.56
   22.500,    10.113,     0.000,    727297.31
   22.500,    10.500,     0.000,    723497.94
   22.500,    10.887,     0.000,    719698.56
