x, y, z, voidRatio
   23.887,    17.887,     0.000, 0.2999836
   23.500,    17.113,     0.000, 0.2999806
   23.500,    17.500,     0.000, 0.2999821
   23.500,    17.887,     0.000, 0.2999836
   23.113,    17.113,     0.000, 0.2999806
   23.113,    17.500,     0.000, 0.2999821
   23.113,    17.887,     0.000, 0.2999836
   23.887,    18.113,     0.000, 0.2999843
   23.887,    18.500,     0.000, 0.2999852
   23.887,    18.887,     0.000, 0.2999861
   23.500,    18.113,     0.000, 0.2999843
   23.500,    18.500,     0.000, 0.2999852
   23.500,    18.887,     0.000, 0.2999861
   23.113,    18.113,     0.000, 0.2999843
   23.113,    18.500,     0.000, 0.2999852
   23.113,    18.887,     0.000, 0.2999861
   23.887,    19.113,     0.000, 0.2999865
   23.887,    19.500,     0.000, 0.2999871
   23.887,    19.887,     0.000, 0.2999876
   23.500,    19.113,     0.000, 0.2999865
   23.500,    19.500,     0.000, 0.2999871
   23.500,    19.887,     0.000, 0.2999876
   23.113,    19.113,     0.000, 0.2999865
   23.113,    19.500,     0.000, 0.2999871
   23.113,    19.887,     0.000, 0.2999876
   23.887,    20.113,     0.000, 0.2999879
   23.887,    20.500,     0.000, 0.2999883
   23.887,    20.887,     0.000, 0.2999887
   23.500,    20.113,     0.000, 0.2999879
   23.500,    20.500,     0.000, 0.2999883
   23.500,    20.887,     0.000, 0.2999887
   23.113,    20.113,     0.000, 0.2999879
   23.113,    20.500,     0.000, 0.2999883
   23.113,    20.887,     0.000, 0.2999887
   23.887,    21.113,     0.000, 0.2999888
   23.887,    21.500,     0.000, 0.2999891
   23.887,    21.887,     0.000, 0.2999894
   23.500,    21.113,     0.000, 0.2999888
   23.500,    21.500,     0.000, 0.2999891
   23.500,    21.887,     0.000, 0.2999894
   23.113,    21.113,     0.000, 0.2999888
   23.113,    21.500,     0.000, 0.2999891
   23.113,    21.887,     0.000, 0.2999894
   23.887,    22.113,     0.000, 0.2999895
   23.887,    22.500,     0.000, 0.2999897
   23.887,    22.887,     0.000, 0.2999899
   23.500,    22.113,     0.000, 0.2999895
   23.500,    22.500,     0.000, 0.2999897
   23.500,    22.887,     0.000, 0.2999899
   23.113,    22.113,     0.000, 0.2999895
   23.113,    22.500,     0.000, 0.2999897
   23.113,    22.887,     0.000, 0.2999899
   23.887,    23.113,     0.000, 0.2999901
   23.887,    23.500,     0.000, 0.2999902
   23.887,    23.887,     0.000, 0.2999904
   23.500,    23.113,     0.000, 0.2999901
   23.500,    23.500,     0.000, 0.2999902
   23.500,    23.887,     0.000, 0.2999904
   23.113,    23.113,     0.000, 0.2999901
   23.113,    23.500,     0.000, 0.2999902
   23.113,    23.887,     0.000, 0.2999904
   23.887,    24.113,     0.000, 0.2999905
   23.887,    24.500,     0.000, 0.2999907
   23.887,    24.887,     0.000, 0.2999908
   23.500,    24.113,     0.000, 0.2999905
   23.500,    24.500,     0.000, 0.2999907
   23.500,    24.887,     0.000, 0.2999908
   23.113,    24.113,     0.000, 0.2999905
   23.113,    24.500,     0.000, 0.2999907
   23.113,    24.887,     0.000, 0.2999908
   22.887,     0.113,     0.000, 0.2774691
   22.887,     0.500,     0.000, 0.2799827
   22.887,     0.887,     0.000, 0.2825063
   22.500,     0.113,     0.000, 0.2774691
   22.500,     0.500,     0.000, 0.2799827
   22.500,     0.887,     0.000, 0.2825063
   22.113,     0.113,     0.000, 0.2774691
   22.113,     0.500,     0.000, 0.2799827
   22.113,     0.887,     0.000, 0.2825063
   22.887,     1.113,     0.000, 0.2837975
   22.887,     1.500,     0.000, 0.2857079
   22.887,     1.887,     0.000, 0.2876240
   22.500,     1.113,     0.000, 0.2837975
   22.500,     1.500,     0.000, 0.2857079
   22.500,     1.887,     0.000, 0.2876240
   22.113,     1.113,     0.000, 0.2837975
   22.113,     1.500,     0.000, 0.2857079
   22.113,     1.887,     0.000, 0.2876240
   22.887,     2.113,     0.000, 0.2885937
   22.887,     2.500,     0.000, 0.2900081
   22.887,     2.887,     0.000, 0.2914256
   22.500,     2.113,     0.000, 0.2885937
   22.500,     2.500,     0.000, 0.2900081
   22.500,     2.887,     0.000, 0.2914256
   22.113,     2.113,     0.000, 0.2885937
   22.113,     2.500,     0.000, 0.2900081
   22.113,     2.887,     0.000, 0.2914256
   22.887,     3.113,     0.000, 0.2921353
   22.887,     3.500,     0.000, 0.2931559
   22.887,     3.887,     0.000, 0.2941782
   22.500,     3.113,     0.000, 0.2921353
   22.500,     3.500,     0.000, 0.2931559
   22.500,     3.887,     0.000, 0.2941782
   22.113,     3.113,     0.000, 0.2921353
   22.113,     3.500,     0.000, 0.2931559
   22.113,     3.887,     0.000, 0.2941782
   22.887,     4.113,     0.000, 0.2946849
   22.887,     4.500,     0.000, 0.2954034
   22.887,     4.887,     0.000, 0.2961226
   22.500,     4.113,     0.000, 0.2946849
   22.500,     4.500,     0.000, 0.2954034
   22.500,     4.887,     0.000, 0.2961226
   22.113,     4.113,     0.000, 0.2946849
   22.113,     4.500,     0.000, 0.2954034
   22.113,     4.887,     0.000, 0.2961226
   22.887,     5.113,     0.000, 0.2964758
   22.887,     5.500,     0.000, 0.2969698
   22.887,     5.887,     0.000, 0.2974642
   22.500,     5.113,     0.000, 0.2964758
   22.500,     5.500,     0.000, 0.2969698
   22.500,     5.887,     0.000, 0.2974642
   22.113,     5.113,     0.000, 0.2964758
   22.113,     5.500,     0.000, 0.2969698
   22.113,     5.887,     0.000, 0.2974642
   22.887,     6.113,     0.000, 0.2977047
   22.887,     6.500,     0.000, 0.2980368
   22.887,     6.887,     0.000, 0.2983691
   22.500,     6.113,     0.000, 0.2977047
   22.500,     6.500,     0.000, 0.2980368
   22.500,     6.887,     0.000, 0.2983691
   22.113,     6.113,     0.000, 0.2977047
   22.113,     6.500,     0.000, 0.2980368
   22.113,     6.887,     0.000, 0.2983691
   22.887,     7.113,     0.000, 0.2985295
   22.887,     7.500,     0.000, 0.2987482
   22.887,     7.887,     0.000, 0.2989669
   22.500,     7.113,     0.000, 0.2985295
   22.500,     7.500,     0.000, 0.2987482
   22.500,     7.887,     0.000, 0.2989669
   22.113,     7.113,     0.000, 0.2985295
   22.113,     7.500,     0.000, 0.2987482
   22.113,     7.887,     0.000, 0.2989669
   22.887,     8.113,     0.000, 0.2990716
   22.887,     8.500,     0.000, 0.2992128
   22.887,     8.887,     0.000, 0.2993539
   22.500,     8.113,     0.000, 0.2990716
   22.500,     8.500,     0.000, 0.2992128
   22.500,     8.887,     0.000, 0.2993539
   22.113,     8.113,     0.000, 0.2990716
   22.113,     8.500,     0.000, 0.2992128
   22.113,     8.887,     0.000, 0.2993539
   22.887,     9.113,     0.000, 0.2994210
   22.887,     9.500,     0.000, 0.2995105
   22.887,     9.887,     0.000, 0.2996000
   22.500,     9.113,     0.000, 0.2994210
   22.500,     9.500,     0.000, 0.2995105
   22.500,     9.887,     0.000, 0.2996000
   22.113,     9.113,     0.000, 0.2994210
   22.113,     9.500,     0.000, 0.2995105
   22.113,     9.887,     0.000, 0.2996000
   22.887,    10.113,     0.000, 0.2996422
   22.887,    10.500,     0.000, 0.2996980
   22.887,    10.887,     0.000, 0.2997537
   22.500,    10.113,     0.000, 0.2996422
   22.500,    10.500,     0.000, 0.2996980
   22.500,    10.887,     0.000, 0.2997537
   22.113,    10.113,     0.000, 0.2996422
   22.113,    10.500,     0.000, 0.2996980
   22.113,    10.887,     0.000, 0.2997537
   22.887,    11.113,     0.000, 0.2997799
   22.887,    11.500,     0.000, 0.2998141
   22.887,    11.887,     0.000, 0.2998483
   22.500,    11.113,     0.000, 0.2997799
   22.500,    11.500,     0.000, 0.2998141
   22.500,    11.887,     0.000, 0.2998483
   22.113,    11.113,     0.000, 0.2997799
   22.113,    11.500,     0.000, 0.2998141
   22.113,    11.887,     0.000, 0.2998483
   22.887,    12.113,     0.000, 0.2998643
   22.887,    12.500,     0.000, 0.2998849
   22.887,    12.887,     0.000, 0.2999057
   22.500,    12.113,     0.000, 0.2998643
   22.500,    12.500,     0.000, 0.2998849
   22.500,    12.887,     0.000, 0.2999057
   22.113,    12.113,     0.000, 0.2998643
   22.113,    12.500,     0.000, 0.2998849
   22.113,    12.887,     0.000, 0.2999057
   22.887,    13.113,     0.000, 0.2999153
   22.887,    13.500,     0.000, 0.2999277
   22.887,    13.887,     0.000, 0.2999400
   22.500,    13.113,     0.000, 0.2999153
   22.500,    13.500,     0.000, 0.2999277
   22.500,    13.887,     0.000, 0.2999400
   22.113,    13.113,     0.000, 0.2999153
   22.113,    13.500,     0.000, 0.2999277
   22.113,    13.887,     0.000, 0.2999400
   22.887,    14.113,     0.000, 0.2999457
   22.887,    14.500,     0.000, 0.2999531
   22.887,    14.887,     0.000, 0.2999604
   22.500,    14.113,     0.000, 0.2999457
   22.500,    14.500,     0.000, 0.2999531
   22.500,    14.887,     0.000, 0.2999604
   22.113,    14.113,     0.000, 0.2999457
   22.113,    14.500,     0.000, 0.2999531
   22.113,    14.887,     0.000, 0.2999604
   22.887,    15.113,     0.000, 0.2999638
   22.887,    15.500,     0.000, 0.2999681
   22.887,    15.887,     0.000, 0.2999724
   22.500,    15.113,     0.000, 0.2999638
   22.500,    15.500,     0.000, 0.2999681
   22.500,    15.887,     0.000, 0.2999724
   22.113,    15.113,     0.000, 0.2999638
   22.113,    15.500,     0.000, 0.2999681
   22.113,    15.887,     0.000, 0.2999724
   22.887,    16.113,     0.000, 0.2999744
   22.887,    16.500,     0.000, 0.2999769
   22.887,    16.887,     0.000, 0.2999794
   22.500,    16.113,     0.000, 0.2999744
   22.500,    16.500,     0.000, 0.2999769
   22.500,    16.887,     0.000, 0.2999794
   22.113,    16.113,     0.000, 0.2999744
   22.113,    16.500,     0.000, 0.2999769
   22.113,    16.887,     0.000, 0.2999794
   22.887,    17.113,     0.000, 0.2999806
   22.887,    17.500,     0.000, 0.2999821
   22.887,    17.887,     0.000, 0.2999836
   22.500,    17.113,     0.000, 0.2999806
   22.500,    17.500,     0.000, 0.2999821
   22.500,    17.887,     0.000, 0.2999836
   22.113,    17.113,     0.000, 0.2999806
   22.113,    17.500,     0.000, 0.2999821
   22.113,    17.887,     0.000, 0.2999836
   22.887,    18.113,     0.000, 0.2999843
   22.887,    18.500,     0.000, 0.2999852
   22.887,    18.887,     0.000, 0.2999861
   22.500,    18.113,     0.000, 0.2999843
   22.500,    18.500,     0.000, 0.2999852
   22.500,    18.887,     0.000, 0.2999861
   22.113,    18.113,     0.000, 0.2999843
   22.113,    18.500,     0.000, 0.2999852
   22.113,    18.887,     0.000, 0.2999861
   22.887,    19.113,     0.000, 0.2999865
   22.887,    19.500,     0.000, 0.2999871
   22.887,    19.887,     0.000, 0.2999876
   22.500,    19.113,     0.000, 0.2999865
   22.500,    19.500,     0.000, 0.2999871
   22.500,    19.887,     0.000, 0.2999876
   22.113,    19.113,     0.000, 0.2999865
   22.113,    19.500,     0.000, 0.2999871
   22.113,    19.887,     0.000, 0.2999876
   22.887,    20.113,     0.000, 0.2999879
   22.887,    20.500,     0.000, 0.2999883
   22.887,    20.887,     0.000, 0.2999887
   22.500,    20.113,     0.000, 0.2999879
