x, y, z, porePressure
   23.113,    12.500,     0.000,    367875.44
   23.113,    12.887,     0.000,    364076.03
   23.887,    13.113,     0.000,    361864.81
   23.887,    13.500,     0.000,    358065.41
   23.887,    13.887,     0.000,    354266.03
   23.500,    13.113,     0.000,    361864.81
   23.500,    13.500,     0.000,    358065.41
   23.500,    13.887,     0.000,    354266.03
   23.113,    13.113,     0.000,    361864.81
   23.113,    13.500,     0.000,    358065.41
   23.113,    13.887,     0.000,    354266.03
   23.887,    14.113,     0.000,    352054.81
   23.887,    14.500,     0.000,    348255.41
   23.887,    14.887,     0.000,    344456.00
   23.500,    14.113,     0.000,    352054.81
   23.500,    14.500,     0.000,    348255.41
   23.500,    14.887,     0.000,    344456.00
   23.113,    14.113,     0.000,    352054.81
   23.113,    14.500,     0.000,    348255.41
   23.113,    14.887,     0.000,    344456.00
   23.887,    15.113,     0.000,    342244.78
   23.887,    15.500,     0.000,    338445.38
   23.887,    15.887,     0.000,    334645.97
   23.500,    15.113,     0.000,    342244.78
   23.500,    15.500,     0.000,    338445.38
   23.500,    15.887,     0.000,    334645.97
   23.113,    15.113,     0.000,    342244.78
   23.113,    15.500,     0.000,    338445.38
   23.113,    15.887,     0.000,    334645.97
   23.887,    16.113,     0.000,    332434.75
   23.887,    16.500,     0.000,    328635.38
   23.887,    16.887,     0.000,    324835.97
   23.500,    16.113,     0.000,    332434.75
   23.500,    16.500,     0.000,    328635.38
   23.500,    16.887,     0.000,    324835.97
   23.113,    16.113,     0.000,    332434.75
   23.113,    16.500,     0.000,    328635.38
   23.113,    16.887,     0.000,    324835.97
   23.887,    17.113,     0.000,    322624.75
   23.887,    17.500,     0.000,    318825.34
   23.887,    17.887,     0.000,    315025.94
   23.500,    17.113,     0.000,    322624.75
   23.500,    17.500,     0.000,    318825.34
   23.500,    17.887,     0.000,    315025.94
   23.113,    17.113,     0.000,    322624.75
   23.113,    17.500,     0.000,    318825.34
   23.113,    17.887,     0.000,    315025.94
   23.887,    18.113,     0.000,    312814.72
   23.887,    18.500,     0.000,    309015.31
   23.887,    18.887,     0.000,    305215.91
   23.500,    18.113,     0.000,    312814.72
   23.500,    18.500,     0.000,    309015.31
   23.500,    18.887,     0.000,    305215.91
   23.113,    18.113,     0.000,    312814.72
   23.113,    18.500,     0.000,    309015.31
   23.113,    18.887,     0.000,    305215.91
   23.887,    19.113,     0.000,    303004.72
   23.887,    19.500,     0.000,    299205.31
   23.887,    19.887,     0.000,    295405.91
   23.500,    19.113,     0.000,    303004.72
   23.500,    19.500,     0.000,    299205.31
   23.500,    19.887,     0.000,    295405.91
   23.113,    19.113,     0.000,    303004.72
   23.113,    19.500,     0.000,    299205.31
   23.113,    19.887,     0.000,    295405.91
   23.887,    20.113,     0.000,    293194.69
   23.887,    20.500,     0.000,    289395.28
   23.887,    20.887,     0.000,    285595.88
   23.500,    20.113,     0.000,    293194.69
   23.500,    20.500,     0.000,    289395.28
   23.500,    20.887,     0.000,    285595.88
   23.113,    20.113,     0.000,    293194.69
   23.113,    20.500,     0.000,    289395.28
   23.113,    20.887,     0.000,    285595.88
   23.887,    21.113,     0.000,    283384.66
   23.887,    21.500,     0.000,    279585.25
   23.887,    21.887,     0.000,    275785.88
   23.500,    21.113,     0.000,    283384.66
   23.500,    21.500,     0.000,    279585.25
   23.500,    21.887,     0.000,    275785.88
   23.113,    21.113,     0.000,    283384.66
   23.113,    21.500,     0.000,    279585.25
   23.113,    21.887,     0.000,    275785.88
   23.887,    22.113,     0.000,    273574.66
   23.887,    22.500,     0.000,    269775.25
   23.887,    22.887,     0.000,    265975.84
   23.500,    22.113,     0.000,    273574.66
   23.500,    22.500,     0.000,    269775.25
   23.500,    22.887,     0.000,    265975.84
   23.113,    22.113,     0.000,    273574.66
   23.113,    22.500,     0.000,    269775.25
   23.113,    22.887,     0.000,    265975.84
   23.887,    23.113,     0.000,    263764.62
   23.887,    23.500,     0.000,    259965.23
   23.887,    23.887,     0.000,    256165.83
   23.500,    23.113,     0.000,    263764.62
   23.500,    23.500,     0.000,    259965.23
   23.500,    23.887,     0.000,    256165.83
   23.113,    23.113,     0.000,    263764.62
   23.113,    23.500,     0.000,    259965.23
   23.113,    23.887,     0.000,    256165.83
   23.887,    24.113,     0.000,    253954.61
   23.887,    24.500,     0.000,    250155.22
   23.887,    24.887,     0.000,    246355.81
   23.500,    24.113,     0.000,    253954.61
   23.500,    24.500,     0.000,    250155.22
   23.500,    24.887,     0.000,    246355.81
   23.113,    24.113,     0.000,    253954.61
   23.113,    24.500,     0.000,    250155.22
   23.113,    24.887,     0.000,    246355.81
   22.887,     0.113,     0.000,    489394.41
   22.887,     0.500,     0.000,    485595.06
   22.887,     0.887,     0.000,    481795.69
   22.500,     0.113,     0.000,    489394.41
   22.500,     0.500,     0.000,    485595.06
   22.500,     0.887,     0.000,    481795.69
   22.113,     0.113,     0.000,    489394.41
   22.113,     0.500,     0.000,    485595.06
   22.113,     0.887,     0.000,    481795.69
   22.887,     1.113,     0.000,    479584.50
   22.887,     1.500,     0.000,    475785.16
   22.887,     1.887,     0.000,    471985.81
   22.500,     1.113,     0.000,    479584.50
   22.500,     1.500,     0.000,    475785.16
   22.500,     1.887,     0.000,    471985.81
   22.113,     1.113,     0.000,    479584.50
   22.113,     1.500,     0.000,    475785.16
   22.113,     1.887,     0.000,    471985.81
   22.887,     2.113,     0.000,    469774.62
   22.887,     2.500,     0.000,    465975.25
   22.887,     2.887,     0.000,    462175.88
   22.500,     2.113,     0.000,    469774.62
   22.500,     2.500,     0.000,    465975.25
   22.500,     2.887,     0.000,    462175.88
   22.113,     2.113,     0.000,    469774.62
   22.113,     2.500,     0.000,    465975.25
   22.113,     2.887,     0.000,    462175.88
   22.887,     3.113,     0.000,    459964.69
   22.887,     3.500,     0.000,    456165.31
   22.887,     3.887,     0.000,    452365.97
   22.500,     3.113,     0.000,    459964.69
   22.500,     3.500,     0.000,    456165.31
   22.500,     3.887,     0.000,    452365.97
   22.113,     3.113,     0.000,    459964.69
   22.113,     3.500,     0.000,    456165.31
   22.113,     3.887,     0.000,    452365.97
   22.887,     4.113,     0.000,    450154.78
   22.887,     4.500,     0.000,    446355.38
   22.887,     4.887,     0.000,    442556.00
   22.500,     4.113,     0.000,    450154.78
   22.500,     4.500,     0.000,    446355.38
   22.500,     4.887,     0.000,    442556.00
   22.113,     4.113,     0.000,    450154.78
   22.113,     4.500,     0.000,    446355.38
   22.113,     4.887,     0.000,    442556.00
   22.887,     5.113,     0.000,    440344.81
   22.887,     5.500,     0.000,    436545.44
   22.887,     5.887,     0.000,    432746.06
   22.500,     5.113,     0.000,    440344.81
   22.500,     5.500,     0.000,    436545.44
   22.500,     5.887,     0.000,    432746.06
   22.113,     5.113,     0.000,    440344.81
   22.113,     5.500,     0.000,    436545.44
   22.113,     5.887,     0.000,    432746.06
   22.887,     6.113,     0.000,    430534.84
   22.887,     6.500,     0.000,    426735.47
   22.887,     6.887,     0.000,    422936.06
   22.500,     6.113,     0.000,    430534.84
   22.500,     6.500,     0.000,    426735.47
   22.500,     6.887,     0.000,    422936.06
   22.113,     6.113,     0.000,    430534.84
   22.113,     6.500,     0.000,    426735.47
   22.113,     6.887,     0.000,    422936.06
   22.887,     7.113,     0.000,    420724.88
   22.887,     7.500,     0.000,    416925.47
   22.887,     7.887,     0.000,    413126.09
   22.500,     7.113,     0.000,    420724.88
   22.500,     7.500,     0.000,    416925.47
   22.500,     7.887,     0.000,    413126.09
   22.113,     7.113,     0.000,    420724.88
   22.113,     7.500,     0.000,    416925.47
   22.113,     7.887,     0.000,    413126.09
   22.887,     8.113,     0.000,    410914.88
   22.887,     8.500,     0.000,    407115.50
   22.887,     8.887,     0.000,    403316.09
   22.500,     8.113,     0.000,    410914.88
   22.500,     8.500,     0.000,    407115.50
   22.500,     8.887,     0.000,    403316.09
   22.113,     8.113,     0.000,    410914.88
   22.113,     8.500,     0.000,    407115.50
   22.113,     8.887,     0.000,    403316.09
   22.887,     9.113,     0.000,    401104.88
   22.887,     9.500,     0.000,    397305.47
   22.887,     9.887,     0.000,    393506.09
   22.500,     9.113,     0.000,    401104.88
   22.500,     9.500,     0.000,    397305.47
